CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
45	3766	-35.927	0.000	0.7527	0.5299	1
45	3852	-35.927	0.000	0.7543	0.5913	1
45	3861	-422.106	0.000	0.7736	0.5839	1
45	3866	-35.927	0.000	0.7467	0.4915	1
45	4258	78.120	0.000	0.8045	0.5720	1
45	4323	-30.011	0.000	0.8301	0.6357	1
45	4465	52.104	0.000	0.8020	0.5050	1
45	4509	-43.990	0.000	0.7858	0.4989	1
45	4536	-30.011	0.000	0.7504	0.5069	1
45	4548	-23.938	0.000	0.7658	0.6380	1
45	4617	52.104	0.000	0.8164	0.5582	1
45	4631	94.115	0.000	0.8008	0.5720	1
45	4717	-43.990	0.000	0.8192	0.5529	1
45	4761	-306.094	0.000	0.7961	0.5913	1
45	4802	52.104	0.000	0.8101	0.5621	1
45	5324	-2.938	0.000	0.7539	0.5720	1
45	5428	-35.927	0.000	0.7679	0.5690	1
46	64	-2.011	0.000	0.9021	0.6873	1
46	165	66.052	0.000	0.9145	0.7206	1
46	262	-76.085	0.000	0.8717	0.6010	1
46	391	14.021	0.000	0.9162	0.6873	1
46	396	50.021	0.000	0.8564	0.4986	1
46	401	-246.193	0.000	0.8992	0.6755	1
46	428	-46.037	0.000	0.9078	0.6421	1
46	497	-170.126	0.000	0.8343	0.4577	1
46	498	2.019	0.000	0.9080	0.6810	1
46	506	4.036	0.000	0.8607	0.6133	1
46	641	-318.178	0.000	0.8832	0.5644	1
46	662	-212.246	0.000	0.9153	0.7206	1
46	700	-48.053	0.000	0.8985	0.6366	1
46	786	-234.230	0.000	0.8584	0.6077	1
46	795	-62.069	0.000	0.9216	0.6810	1
46	887	-23.995	0.000	0.9114	0.6810	1
46	928	-212.245	0.000	0.9135	0.6422	1
46	1021	50.020	0.000	0.9068	0.6421	1
46	1089	-74.069	0.000	0.8831	0.5542	1
46	1315	-88.087	0.000	0.8581	0.5782	1
46	1382	-214.261	0.000	0.9167	0.6873	1
46	1451	78.059	0.000	0.8907	0.6421	1
46	1489	36.005	0.000	0.8965	0.6550	1
46	1590	12.005	0.000	0.9101	0.6421	1
46	1826	-76.084	0.000	0.8973	0.6421	1
46	1847	-34.036	0.000	0.8966	0.6288	1
46	1887	-40.027	0.000	0.9147	0.6795	1
46	2006	-306.180	0.000	0.9002	0.6468	1
46	2035	50.021	0.000	0.9140	0.6742	1
46	2057	21.989	0.000	0.7091	0.4718	1
46	2069	-212.239	0.000	0.8910	0.6421	1
46	2084	-168.110	0.000	0.8392	0.5308	1
46	2110	-14.010	0.000	0.9152	0.6709	1
46	2125	-4.026	0.000	0.9122	0.6421	1
46	2127	-170.126	0.000	0.8816	0.6223	1
46	2362	-76.084	0.000	0.8805	0.6024	1
46	2437	-116.077	0.000	0.8331	0.5870	1
46	2654	-196.142	0.000	0.9058	0.6606	1
46	2679	7.974	0.000	0.8841	0.6462	1
46	2686	-68.059	0.000	0.8525	0.5421	1
46	2742	-102.103	0.000	0.8518	0.5793	1
46	2753	-74.069	0.000	0.8773	0.6179	1
46	2807	26.021	0.000	0.9003	0.6421	1
46	2841	-26.011	0.000	0.8764	0.5811	1
46	2873	-197.245	0.000	0.8980	0.6406	1
46	2875	-32.058	0.000	0.8782	0.6468	1
46	2920	21.989	0.000	0.9027	0.6271	1
46	2978	-26.010	0.000	0.9164	0.6873	1
46	2987	-46.074	0.000	0.8962	0.6421	1
46	3042	40.037	0.000	0.9127	0.6923	1
46	3096	4.036	0.000	0.8903	0.5974	1
46	3161	-62.069	0.000	0.8594	0.5504	1
46	3169	52.037	0.000	0.9143	0.7148	1
46	3222	0.006	0.000	0.8914	0.5968	1
46	3226	-38.010	0.000	0.9196	0.7012	1
46	3230	16.036	0.000	0.8952	0.6421	1
46	3277	-246.193	0.000	0.8992	0.6755	1
46	3296	-62.031	0.000	0.8347	0.5786	1
46	3340	-172.141	0.000	0.8810	0.6170	1
46	3349	-66.041	0.000	0.8974	0.6368	1
46	3355	348.272	0.000	0.8721	0.7246	1
46	3423	-18.041	0.000	0.8789	0.6259	1
46	3543	-78.025	0.000	0.8840	0.6406	1
46	3557	261.265	0.000	0.7855	0.5194	1
46	3573	-90.100	0.000	0.8531	0.5470	1
46	3644	-42.042	0.000	0.9234	0.7358	1
46	3663	-62.068	0.000	0.8790	0.6113	1
46	3740	-253.134	0.000	0.7198	0.3780	1
46	3755	-28.026	0.000	0.8680	0.5701	1
46	3775	-17.969	0.000	0.8267	0.5693	1
46	3777	52.037	0.000	0.9078	0.6810	1
46	3785	110.152	0.000	0.8324	0.5463	1
46	3794	-188.136	0.000	0.8036	0.4780	1
46	3821	-2.013	0.000	0.9021	0.6873	1
46	3828	134.153	0.000	0.8655	0.6421	1
46	3840	24.005	0.000	0.9192	0.6876	1
46	3842	-248.208	0.000	0.8999	0.6413	1
46	4050	36.005	0.000	0.9114	0.6873	1
46	4051	-194.125	0.000	0.8951	0.6406	1
46	4059	14.021	0.000	0.9173	0.7132	1
46	4088	-511.359	0.000	0.8579	0.5887	1
46	4095	-186.230	0.000	0.8972	0.6506	1
46	4126	-18.005	0.000	0.7452	0.4001	1
46	4174	36.005	0.000	0.9078	0.6425	1
46	4182	-278.255	0.000	0.8617	0.6321	1
46	4297	38.021	0.000	0.7109	0.5381	1
46	4340	24.005	0.000	0.9191	0.7414	1
46	4369	-118.095	0.000	0.8681	0.5556	1
